iter	Passed	Remaining
0	56	56460
1	56	28386
2	57	19028
3	57	14318
4	57	11515
5	58	9649
6	58	8305
7	58	7311
8	59	6549
9	60	5941
10	60	5418
11	60	4991
12	61	4637
13	61	4327
14	61	4056
15	62	3818
16	62	3607
17	62	3419
18	62	3251
19	63	3100
20	63	2963
21	63	2837
22	64	2722
23	64	2621
24	64	2529
25	65	2442
26	65	2359
27	65	2283
28	66	2210
29	66	2142
30	66	2080
31	66	2021
32	67	1965
33	67	1916
34	67	1869
35	68	1825
36	68	1781
37	68	1739
38	68	1699
39	69	1662
40	69	1626
41	69	1592
42	70	1560
43	70	1530
44	70	1499
45	71	1472
46	71	1446
47	71	1421
48	71	1396
49	72	1372
50	72	1348
51	72	1326
52	72	1304
53	73	1284
54	73	1264
55	73	1244
56	74	1226
57	74	1208
58	74	1192
59	75	1177
60	75	1163
61	75	1148
62	76	1134
63	76	1122
64	77	1108
65	77	1093
66	77	1081
67	77	1068
68	78	1056
69	78	1045
70	79	1034
71	79	1023
72	79	1014
73	80	1004
74	80	994
75	81	985
76	81	976
77	81	966
78	82	956
79	82	947
80	82	938
81	83	929
82	83	918
83	83	909
84	83	901
85	84	894
86	84	886
87	84	878
88	85	871
89	85	863
90	85	856
91	86	849
92	86	842
93	86	835
94	87	829
95	87	822
96	87	815
97	87	808
98	88	802
99	88	796
100	88	790
101	89	783
102	89	778
103	89	773
104	90	767
105	90	762
106	90	757
107	91	753
108	91	748
109	91	742
110	92	738
111	92	733
112	92	729
113	93	725
114	93	720
115	93	716
116	94	711
117	94	707
118	94	703
119	95	698
120	95	694
121	95	689
122	96	685
123	96	681
124	96	677
125	97	673
126	97	669
127	97	666
128	98	662
129	98	658
130	98	655
131	99	652
132	99	648
133	99	644
134	100	641
135	100	637
136	100	634
137	101	631
138	101	628
139	101	625
140	102	622
141	102	619
142	102	616
143	103	613
144	103	610
145	103	607
146	104	604
147	104	601
148	104	598
149	105	595
150	105	592
151	105	589
152	106	587
153	106	584
154	106	581
155	107	579
156	107	576
157	107	574
158	108	571
159	108	568
160	108	565
161	108	563
162	109	560
163	109	558
164	109	555
165	110	552
166	110	550
167	110	547
168	110	545
169	111	543
170	111	540
171	111	538
172	112	536
173	112	534
174	112	531
175	113	529
176	113	527
177	113	524
178	113	522
179	114	520
180	114	518
181	114	516
182	115	514
183	115	512
184	115	510
185	116	508
186	116	506
187	116	504
188	117	502
189	117	500
190	117	498
191	118	496
192	118	494
193	118	492
194	118	490
195	119	488
196	119	486
197	119	485
198	120	483
199	120	481
200	120	480
201	121	478
202	121	476
203	121	475
204	122	473
205	122	472
206	122	471
207	123	469
208	123	467
209	123	466
210	124	464
211	124	463
212	124	461
213	125	460
214	125	458
215	125	457
216	126	455
217	126	454
218	126	452
219	127	451
220	127	449
221	127	448
222	128	446
223	128	445
224	128	443
225	129	442
226	129	440
227	129	439
228	130	438
229	130	436
230	130	435
231	131	434
232	131	432
233	131	431
234	132	430
235	132	428
236	132	427
237	133	426
238	133	425
239	133	424
240	134	422
241	134	421
242	134	420
243	135	418
244	135	417
245	135	416
246	136	414
247	136	413
248	136	412
249	137	411
250	137	410
251	137	408
252	138	407
253	138	406
254	138	405
255	138	403
256	139	402
257	139	401
258	139	400
259	140	399
260	140	397
261	140	396
262	141	395
263	141	394
264	141	393
265	142	392
266	142	391
267	142	389
268	143	388
269	143	387
270	143	386
271	144	385
272	144	384
273	144	383
274	145	382
275	145	381
276	145	380
277	145	379
278	146	378
279	146	377
280	146	376
281	147	375
282	147	373
283	147	372
284	148	371
285	148	370
286	148	369
287	149	368
288	149	367
289	149	366
290	150	365
291	150	364
292	150	363
293	151	362
294	151	361
295	151	361
296	152	360
297	152	359
298	152	358
299	153	357
300	153	356
301	153	355
302	154	354
303	154	353
304	154	352
305	154	351
306	155	350
307	155	349
308	155	348
309	156	347
310	156	346
311	156	345
312	157	344
313	157	344
314	157	343
315	158	342
316	158	341
317	158	340
318	159	339
319	159	338
320	159	337
321	159	336
322	160	335
323	160	334
324	160	333
325	161	333
326	161	332
327	161	331
328	162	330
329	162	330
330	162	329
331	163	328
332	163	327
333	164	327
334	164	326
335	164	325
336	165	324
337	166	325
338	166	324
339	166	323
340	167	322
341	167	322
342	167	321
343	168	320
344	168	319
345	168	318
346	169	318
347	169	317
348	169	316
349	170	315
350	170	314
351	170	314
352	170	313
353	171	312
354	171	311
355	171	310
356	172	309
357	172	309
358	172	308
359	173	307
360	173	307
361	173	306
362	174	305
363	174	304
364	174	303
365	175	303
366	175	302
367	175	301
368	176	301
369	176	300
370	176	299
371	176	298
372	177	298
373	177	297
374	178	296
375	178	296
376	178	295
377	178	294
378	179	293
379	179	292
380	179	292
381	180	291
382	180	290
383	180	289
384	181	289
385	181	288
386	181	287
387	181	286
388	182	285
389	182	285
390	182	284
391	182	283
392	183	282
393	183	281
394	183	281
395	183	280
396	184	279
397	184	278
398	184	278
399	184	277
400	185	276
401	185	275
402	185	274
403	185	274
404	186	273
405	186	272
406	186	271
407	186	271
408	187	270
409	187	269
410	187	269
411	188	268
412	188	267
413	188	267
414	189	266
415	189	265
416	189	265
417	189	264
418	190	263
419	190	262
420	190	262
421	190	261
422	191	260
423	191	259
424	191	259
425	191	258
426	191	257
427	192	256
428	192	256
429	192	255
430	192	254
431	193	253
432	193	253
433	193	252
434	193	251
435	194	251
436	194	250
437	194	249
438	194	248
439	195	248
440	195	247
441	195	246
442	195	246
443	195	245
444	196	244
445	196	243
446	196	243
447	196	242
448	197	241
449	197	241
450	197	240
451	197	239
452	198	239
453	198	238
454	198	237
455	198	237
456	199	236
457	199	236
458	199	235
459	200	234
460	200	234
461	200	233
462	200	232
463	201	232
464	201	231
465	201	230
466	201	230
467	202	229
468	202	229
469	202	228
470	202	227
471	202	227
472	203	226
473	203	225
474	203	225
475	204	224
476	204	224
477	204	223
478	204	222
479	205	222
480	205	221
481	205	220
482	205	220
483	205	219
484	206	218
485	206	218
486	206	217
487	206	217
488	207	216
489	207	215
490	207	215
491	207	214
492	208	214
493	208	213
494	208	212
495	208	212
496	209	211
497	209	211
498	209	210
499	209	209
500	210	209
501	210	208
502	210	208
503	210	207
504	211	206
505	211	206
506	211	205
507	211	205
508	212	204
509	212	203
510	212	203
511	212	202
512	213	202
513	213	201
514	213	201
515	213	200
516	214	200
517	214	199
518	214	198
519	214	198
520	215	197
521	215	197
522	215	196
523	215	196
524	216	195
525	216	195
526	216	194
527	216	193
528	217	193
529	217	192
530	217	192
531	218	191
532	218	191
533	218	190
534	218	190
535	219	189
536	219	189
537	219	188
538	219	187
539	219	187
540	220	186
541	220	186
542	220	185
543	220	185
544	221	184
545	221	184
546	221	183
547	221	182
548	222	182
549	222	181
550	222	181
551	222	180
552	223	180
553	223	179
554	223	179
555	223	178
556	223	178
557	224	177
558	224	177
559	224	176
560	224	176
561	225	175
562	225	174
563	225	174
564	225	173
565	226	173
566	226	172
567	226	172
568	226	171
569	227	171
570	227	170
571	227	170
572	227	169
573	228	169
574	228	168
575	228	168
576	228	167
577	229	167
578	229	166
579	229	166
580	229	165
581	229	165
582	230	164
583	230	164
584	230	163
585	230	163
586	231	162
587	231	162
588	231	161
589	231	161
590	232	160
591	232	160
592	232	159
593	232	159
594	233	158
595	233	158
596	233	157
597	233	157
598	234	156
599	234	156
600	234	155
601	234	155
602	235	154
603	235	154
604	235	153
605	235	153
606	236	152
607	236	152
608	236	151
609	236	151
610	237	150
611	237	150
612	237	149
613	237	149
614	238	148
615	238	148
616	238	148
617	238	147
618	238	147
619	239	146
620	239	146
621	239	145
622	239	145
623	240	144
624	240	144
625	240	143
626	240	143
627	241	142
628	241	142
629	241	141
630	241	141
631	241	140
632	242	140
633	242	139
634	242	139
635	242	139
636	243	138
637	243	138
638	243	137
639	243	137
640	244	136
641	244	136
642	244	135
643	244	135
644	245	134
645	245	134
646	245	133
647	245	133
648	246	133
649	246	132
650	246	132
651	246	131
652	246	131
653	247	130
654	247	130
655	247	129
656	247	129
657	248	128
658	248	128
659	248	128
660	248	127
661	248	127
662	249	126
663	249	126
664	249	125
665	249	125
666	250	124
667	250	124
668	250	124
669	251	123
670	251	123
671	251	122
672	251	122
673	251	121
674	252	121
675	252	120
676	252	120
677	252	120
678	253	119
679	253	119
680	253	118
681	253	118
682	253	117
683	254	117
684	254	117
685	254	116
686	254	116
687	255	115
688	255	115
689	255	114
690	255	114
691	256	114
692	256	113
693	256	113
694	256	112
695	257	112
696	257	111
697	257	111
698	257	111
699	258	110
700	258	110
701	258	109
702	258	109
703	258	108
704	259	108
705	259	108
706	259	107
707	259	107
708	260	106
709	260	106
710	260	105
711	260	105
712	261	105
713	261	104
714	261	104
715	261	103
716	262	103
717	262	103
718	262	102
719	262	102
720	263	101
721	263	101
722	263	101
723	264	100
724	264	100
725	264	99
726	264	99
727	265	99
728	265	98
729	265	98
730	265	97
731	265	97
732	266	96
733	266	96
734	266	96
735	266	95
736	267	95
737	267	94
738	267	94
739	267	94
740	268	93
741	268	93
742	268	92
743	268	92
744	269	92
745	269	91
746	269	91
747	269	90
748	270	90
749	270	90
750	270	89
751	270	89
752	271	88
753	271	88
754	271	88
755	271	87
756	271	87
757	272	86
758	272	86
759	272	86
760	272	85
761	273	85
762	273	84
763	273	84
764	273	84
765	274	83
766	274	83
767	274	82
768	274	82
769	275	82
770	275	81
771	275	81
772	275	80
773	275	80
774	276	80
775	276	79
776	276	79
777	276	79
